neighborhood,business_id,hours,is_open,address,attributes,categories,city,review_count,name,longitude,state,stars,latitude,postal_code,type
,MFneYHieJ_lnjMeFUGKVbw,"[u'Monday 8:0-19:0', u'Tuesday 8:0-19:0', u'Wednesday 8:0-19:0', u'Thursday 8:0-19:0', u'Friday 8:0-19:0', u'Saturday 8:0-17:0', u'Sunday 10:0-13:0']",1,2553 Wigwam Pkwy,,"[u'Nail Salons', u'Hair Salons', u'Beauty & Spas']",Henderson,7,Revv Illusions,-115.0977701,NV,5.0,36.0345795,89074,business
,42romV8altAeuZuP2OC1gw,"[u'Monday 11:0-21:30', u'Tuesday 11:0-21:30', u'Wednesday 11:0-21:30', u'Thursday 11:0-21:30', u'Friday 11:0-21:30', u'Saturday 11:0-21:30', u'Sunday 11:30-21:0']",0,"1500 N Green Valley Pkwy, Ste 230","[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'Caters: True', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", u'HasTV: True', u'NoiseLevel: quiet', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 1', u'RestaurantsReservations: False', u'RestaurantsTableService: False', u'RestaurantsTakeOut: True', u'WiFi: no']","[u'Hawaiian', u'Restaurants', u'Barbeque']",Henderson,38,Ohana Hawaiian BBQ,-115.085821152,NV,4.0,36.029596485,89074,business
Notre-Dame-de-Grâce,iaunX_af5M5lfT2eEm9FMQ,"[u'Monday 11:0-19:0', u'Tuesday 11:0-19:0', u'Wednesday 11:0-19:0', u'Thursday 11:0-21:0', u'Friday 11:0-21:0', u'Saturday 11:0-19:0', u'Sunday 11:0-19:0']",1,5670 Sherbrooke Rue W,"[u'BikeParking: True', u""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", u'RestaurantsPriceRange2: 1']","[u'Shopping', u'Bookstores', u'Books', u'Mags', u'Music & Video']",Montréal,4,Encore Books and Records,-73.6150299,QC,5.0,45.4707675,H4A 1W7,business
,Tc24GX9-ZPr4_SHU0nJZZA,,1,2525 W Carefree Hwy,[u'ByAppointmentOnly: True'],"[u'General Dentistry', u'Health & Medical', u'Dentists']",Phoenix,4,Canyon Ridge Endodontics,-112.1154511,AZ,4.0,33.7967745,85085,business
,6EvETd9FVPJfhT_6AW9iEw,"[u'Monday 10:0-21:0', u'Tuesday 10:0-21:0', u'Wednesday 10:0-21:0', u'Thursday 10:0-21:0', u'Friday 10:0-22:0', u'Saturday 10:0-22:0', u'Sunday 11:0-19:0']",1,"6801 North Lake Mall Drive, 173",,"[u'Leather Goods', u'Fashion', u'Watches', u'Accessories', u'Shopping']",Charlotte,3,Fossil Store,-80.8512352,NC,3.5,35.3521284,28216,business
,DSWsjtAfLYw9a4MTz0kKLw,"[u'Monday 10:0-21:0', u'Tuesday 10:0-21:0', u'Wednesday 10:0-21:0', u'Thursday 10:0-21:0', u'Friday 10:0-21:0', u'Saturday 10:0-21:0', u'Sunday 11:0-18:0']",1,"2500 Winston Park Drive, Unit A","[u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'RestaurantsPriceRange2: 2']","[u'Mobile Phones', u'Computers', u'Local Services', u'Electronics', u'IT Services & Computer Repair', u'Shopping']",Oakville,3,Best Buy,-79.6859058738,ON,3.0,43.5162547833,L6H 7E5,business
,SbfEPi-iR4ntf3wRQfxYyw,,1,,,"[u'Animal Shelters', u'Pets']",Scottsdale,17,"Woofs, Wiggles N Wags All Breed Rescue",-111.971311071,AZ,4.5,33.6031328399,,business
Ossington Strip,YCsLfBVdLFeN2Necw1HPSA,,0,1000 Queen Street W,"[u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", u'RestaurantsPriceRange2: 3']","[u'Shoe Stores', u'Fashion', u""Men's Clothing"", u'Shopping']",Toronto,5,Stussy,-79.4188293813,ON,2.0,43.644258153,M6J 1H1,business
,O_4OTnw48ULP5uZh6MqiOQ,"[u'Monday 0:0-0:0', u'Tuesday 0:0-0:0', u'Wednesday 0:0-0:0', u'Thursday 0:0-0:0', u'Friday 0:0-0:0', u'Saturday 0:0-0:0', u'Sunday 0:0-0:0']",1,610 John Nolen Dr,"[u'BusinessAcceptsCreditCards: True', u'RestaurantsPriceRange2: 2', u'WiFi: free']","[u'Hotels & Travel', u'Venues & Event Spaces', u'Event Planning & Services', u'Hotels']",Madison,14,Holiday Inn Express & Suites Madison Central,-89.376341,WI,4.5,43.048623,53713,business
,CE0dABv9sfrXjDIJugpU8A,"[u'Monday 9:0-16:0', u'Tuesday 9:0-16:0', u'Wednesday 9:0-16:0', u'Thursday 9:0-16:0', u'Friday 9:0-16:0', u'Saturday 10:0-15:0', u'Sunday 10:0-15:0']",1,"330 S Gilbert Rd, Ste 15","[u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", u'RestaurantsDelivery: True', u'RestaurantsPriceRange2: 2', u'RestaurantsTakeOut: True', u'WheelchairAccessible: True']","[u'Food', u'Bakeries']",Mesa,7,Graceful Cake Creations,-111.7884179,AZ,5.0,33.4091719,85204,business
Milliken,QQLW9IESGVMZR4lr09wNJg,,1,1181 Denison St,,"[u'Sports Clubs', u'Active Life']",Markham,3,Canadian Chinese Table Tennis Association,-79.3222861,ON,3.5,43.8311477,L3R 4B2,business
,DNyYOxVAfu0oUcPNL1ljCQ,,1,"1052 Lionel-Daunais, Suite 302","[u'BusinessAcceptsCreditCards: True', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsReservations: True', u'RestaurantsTakeOut: False']","[u'Restaurants', u'Cafes']",Boucherville,7,Chez Lionel,-73.430235,QC,3.5,45.590227,J4B 0B2,business
,0s03ippU5tXAxVV9ImjQvw,,1,2749 Mayfield Rd,,"[u'Local Services', u'Funeral Services & Cemeteries']",Cleveland,3,Mayfield Cemetery,-81.5822419,OH,3.5,41.513477,44106,business
Ville-Marie,a1Ba6XeIOP48e64YFD0dMw,"[u'Monday 6:30-17:0', u'Tuesday 6:30-17:0', u'Wednesday 6:30-17:0', u'Thursday 6:30-17:0', u'Friday 6:30-17:0']",1,"2000 Mansfield Street, Suite 104",[u'Caters: True'],"[u'Sandwiches', u'Breakfast & Brunch', u'Salad', u'Restaurants']",Montréal,3,La Prep,-73.5738073,QC,4.0,45.5023462,H3A 2Z6,business
,GVT9RQMCqPiHw231ncehFw,"[u'Monday 9:30-10:30', u'Monday 12:0-13:0', u'Monday 17:0-18:0', u'Monday 18:30-19:30', u'Monday 20:0-21:0', u'Tuesday 12:0-13:0', u'Tuesday 17:0-18:0', u'Tuesday 18:30-19:30', u'Tuesday 20:0-21:0', u'Wednesday 12:0-13:0', u'Wednesday 17:0-18:0', u'Wednesday 18:0-19:30', u'Wednesday 20:0-21:0', u'Thursday 9:30-11:0', u'Thursday 12:0-13:0', u'Thursday 17:0-18:0', u'Thursday 18:30-20:0', u'Thursday 20:0-21:0', u'Friday 12:0-13:0', u'Friday 17:30-18:30', u'Friday 19:0-20:0', u'Friday 21:30-22:0', u'Saturday 8:0-9:0', u'Saturday 9:30-11:0', u'Saturday 11:30-12:30', u'Sunday 8:0-9:0', u'Sunday 9:30-11:0', u'Sunday 11:30-12:30', u'Sunday 17:0-18:0']",1,"4870 Tomken Rd, Units 3-4","[u'BikeParking: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", u'ByAppointmentOnly: False', u'GoodForKids: False']","[u'Active Life', u'Fitness & Instruction', u'Yoga']",Mississauga,6,Infinite Yoga,-79.6292708,ON,4.0,43.625834,L4W 1J8,business
Downtown Core,826djy6K_9Fp0ptqJ2_Yag,"[u'Monday 10:45-22:0', u'Tuesday 10:45-22:0', u'Wednesday 10:45-22:0', u'Thursday 10:45-22:0', u'Friday 10:45-22:0', u'Saturday 10:45-22:0', u'Sunday 10:45-22:0']",1,"123 Front St, Unit 103 and 103-A","[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", u'Caters: True', u'DriveThru: False', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", u'HasTV: False', u'NoiseLevel: loud', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: False', u'RestaurantsTableService: False', u'RestaurantsTakeOut: True', u'WiFi: no']","[u'Fast Food', u'Mexican', u'Restaurants']",Toronto,68,Chipotle Mexican Grill,-79.3833328,ON,3.5,43.6449201,M5J 2M2,business
Westside,AGN788ObhwXu7rb8MEejIA,,1,4300 Meadows Ln,"[u'BusinessAcceptsCreditCards: True', u'RestaurantsPriceRange2: 2', u'WheelchairAccessible: True']","[u'Shoe Stores', u'Fashion', u'Shopping']",Las Vegas,4,Sheik Shoes,-115.1963237,NV,1.5,36.172259,89107,business
University City,lHYMeXf8JH1Q8Dazn9s3Gg,"[u'Monday 8:0-18:0', u'Tuesday 8:0-18:0', u'Wednesday 8:0-18:0', u'Thursday 8:0-18:0', u'Friday 8:0-18:0', u'Saturday 8:0-17:0']",1,7850 N Tryon St,[u'BusinessAcceptsCreditCards: True'],"[u'Tires', u'Automotive', u'Auto Parts & Supplies', u'Wheel & Rim Repair']",Charlotte,18,"Discount Tire Store - Charlotte, NC",-80.754429,NC,4.5,35.295623,28262,business
,sY_hAfwWzgr0sxyMgMB5Jg,"[u'Monday 10:0-20:0', u'Tuesday 10:0-20:0', u'Wednesday 10:0-20:0', u'Thursday 10:0-20:0', u'Friday 10:0-20:0', u'Saturday 9:0-20:0', u'Sunday 12:0-18:0']",1,"9705 Sam Furr Rd, Ste B","[u'BikeParking: False', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'ByAppointmentOnly: True', u'RestaurantsPriceRange2: 2']","[u'Electronics', u'Professional Services', u'Shopping', u'Internet Service Providers', u'Home Services', u'Mobile Phones']",Huntersville,7,Verizon,-80.8639253676,NC,3.0,35.4430145734,28078,business
,Mi5uhdFB9OJteXPd0_IKfw,"[u'Monday 16:0-22:0', u'Tuesday 16:0-22:0', u'Wednesday 16:0-22:0', u'Thursday 16:0-22:0', u'Friday 11:0-23:0', u'Saturday 11:0-23:0', u'Sunday 11:0-21:0']",1,5646 W Bell Rd,"[u'Alcohol: full_bar', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'Caters: True', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", u'HasTV: True', u'NoiseLevel: average', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: True', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WheelchairAccessible: True', u'WiFi: no']","[u'Restaurants', u'Italian', u'Seafood']",Glendale,119,Carrabba's Italian Grill,-112.180893379,AZ,3.5,33.6393005153,85308,business
,PCNeANrp7puV3nE-HI2JrQ,"[u'Monday 8:30-18:0', u'Tuesday 8:30-12:0', u'Wednesday 8:30-18:0', u'Thursday 15:0-18:0', u'Friday 8:30-18:0']",1,"7810 Ballantyne Commons Pkwy, Ste 101","[u'AcceptsInsurance: True', u'BusinessAcceptsCreditCards: True', u'ByAppointmentOnly: False']","[u'Health & Medical', u'Chiropractors']",Charlotte,6,Gallagher Chiropractic,-80.811356,NC,5.0,35.059117,28277,business
Leslieville,XxjrqA5jrzLH0EdCKUG9Mw,,0,1560 Queen St E,"[u'BusinessAcceptsCreditCards: False', u""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", u'RestaurantsPriceRange2: 1', u'WiFi: free']","[u'Desserts', u'Coffee & Tea', u'Food']",Toronto,4,I Deal Coffee,-79.3189651,ON,4.5,43.6658792,M4L 1E9,business
,Uxh0fXFH_QQBivRnIBpdiw,"[u'Monday 11:0-22:0', u'Tuesday 11:0-22:0', u'Wednesday 11:0-22:0', u'Thursday 11:0-22:0', u'Friday 11:0-22:30', u'Saturday 11:0-22:30', u'Sunday 11:0-21:0']",1,2269 Kresge Dr,"[u'Alcohol: full_bar', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BikeParking: False', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'Caters: False', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", u'HasTV: True', u'NoiseLevel: average', u'OutdoorSeating: True', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: False', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WiFi: no']","[u'Restaurants', u'Mexican', u'American (Traditional)']",Amherst,22,Don Tequila,-82.2076029,OH,3.5,41.4161517,44001,business
,YPavuOh2XsnRbLfl0DH2lQ,"[u'Monday 9:0-22:0', u'Tuesday 9:0-22:0', u'Wednesday 9:0-22:0', u'Thursday 9:0-22:0', u'Friday 8:0-23:0', u'Saturday 8:0-23:0', u'Sunday 8:0-18:0']",1,1220 S Central Ave,"[u'Alcohol: full_bar', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BYOB: False', u'BYOBCorkage: yes_free', u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': True}"", u'Caters: True', u'Corkage: False', u'DogsAllowed: False', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", u'HasTV: True', u'NoiseLevel: average', u'OutdoorSeating: True', u'RestaurantsAttire: casual', u'RestaurantsCounterService: False', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: False', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WheelchairAccessible: True', u'WiFi: free']","[u'Restaurants', u'Waffles', u'Southern', u'Soul Food']",Phoenix,1276,Lo-Lo's Chicken & Waffles,-112.073970304,AZ,4.0,33.4353717916,85003,business
,jjittNH37QbiDXipjwRFtA,"[u'Monday 9:15-18:0', u'Tuesday 9:15-18:0', u'Wednesday 9:15-18:0', u'Thursday 9:15-18:0', u'Friday 9:15-18:0', u'Saturday 10:0-17:0']",1,6881 W 130th St,,"[u'Auto Repair', u'Automotive', u'Oil Change Stations']",Cleveland,3,Leeson's 10 Minute Oil Change,-81.7843777709,OH,4.0,41.3776431854,44130,business
,7cIRj82eLbyvNG43lemt1A,"[u'Monday 7:30-17:0', u'Tuesday 7:30-17:0', u'Wednesday 7:30-17:0', u'Thursday 7:30-17:0', u'Friday 7:30-16:0']",1,1537 S Mint St,[u'BusinessAcceptsCreditCards: False'],"[u'Auto Repair', u'Automotive', u'Body Shops']",Charlotte,7,Dee Gainey's Body Shop,-80.8619108,NC,4.5,35.2181627,28203,business
,XK5w8XnbP8CdeoB44kn1bg,"[u'Monday 9:0-17:0', u'Tuesday 9:0-17:0', u'Wednesday 9:0-17:0', u'Thursday 9:0-17:0', u'Friday 9:0-17:0', u'Saturday 9:0-13:0']",1,848 N Rainbow Blvd,[u'BusinessAcceptsCreditCards: True'],"[u'Local Services', u'Notaries', u'Professional Services', u'Shipping Centers', u'Mailbox Centers', u'Lawyers']",Las Vegas,14,Mail Link,-115.241325,NV,4.0,36.1808408,89107,business
Spring Valley,saWZO6hB4B8P-mIzS1--Xw,,0,4811 S Rainbow Blvd,"[u'Alcohol: full_bar', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", u'OutdoorSeating: True', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: True', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WheelchairAccessible: True']","[u'Persian/Iranian', u'Restaurants', u'Ethnic Food', u'Food', u'Greek', u'Specialty Food']",Las Vegas,15,Kabob Palace,-115.2443122,NV,2.5,36.1010205,89103,business
West View,P3LisOj7DktgGa7C5FYpnA,"[u'Monday 9:30-9:0', u'Tuesday 9:30-9:0', u'Wednesday 9:30-9:0', u'Thursday 9:30-9:0', u'Friday 9:30-9:0', u'Saturday 9:30-9:0', u'Sunday 9:30-9:0']",1,451 Rochester Rd,[u'BusinessAcceptsCreditCards: True'],"[u'Plumbing', u'Home Services']",Pittsburgh,8,Benjamin Franklin Plumbing,-80.0498873,PA,4.0,40.5341627,15237,business
,vJ-KyaojDQj1R2BNrlDToA,,0,13801 Indian Trail Fairvie,"[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", u'NoiseLevel: average', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsPriceRange2: 1', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True']","[u'American (Traditional)', u'Restaurants']",Indian Trail,5,East 74 Restaurant,-80.5469564,NC,3.0,35.1420067,28079,business
,hovoWva_UjbnyLWEbnFvBw,"[u'Monday 11:0-21:30', u'Tuesday 11:0-21:30', u'Wednesday 11:0-21:30', u'Thursday 11:0-21:30', u'Friday 11:0-21:30', u'Saturday 11:0-22:30', u'Sunday 11:0-22:30']",1,3732 Darrow Rd Ste 5,"[u'Alcohol: full_bar', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", u'HasTV: False', u'NoiseLevel: average', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: True', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WheelchairAccessible: True', u'WiFi: no']","[u'Thai', u'Restaurants']",Stow,68,Thai Gourmet,-81.4413704,OH,3.5,41.1657087,44224,business
